id,channelName,likes,url,viewCount,date,numberOfSubscribers,title,commentsCount,location
g7xLFu6qk_o,Lenskart,571,https://www.youtube.com/watch?v=g7xLFu6qk_o,42266,2024-01-17T00:00:00.000Z,272000,The Pan India Superstar Vibe ft. Karan Johar & Kiara Advani | Glasses Badlo Vibe Badlo | #Lenskart,24,Indore
L3SDDNK_tHk,Lenskart,657,https://www.youtube.com/watch?v=L3SDDNK_tHk,50566,2024-05-31T00:00:00.000Z,272000,How Are Progressive Lenses Made | Inside The Lenskart Factory | #Lenskart,56,Ghaziabad
atCT_8jPDg8,Backstage with Millionaires,866,https://www.youtube.com/watch?v=atCT_8jPDg8,43587,2024-04-12T00:00:00.000Z,942000,Lenskart Is Building a MEGA FACTORY in Bengaluru - Indian Startup News 204,68,Mumbai
7yH1UU4-3vw,ONE CHANCE,2600,https://www.youtube.com/watch?v=7yH1UU4-3vw,96417,2024-06-25T00:00:00.000Z,691000,"10 Best Sunglasses Under 500/2000 For Men/Women ?? Lenskart, Voyage Sunglass Haul  2024 | ONE CHANCE",94,Visakhapatnam
EVAtnscCU50,Lenskart,677,https://www.youtube.com/watch?v=EVAtnscCU50,52899,2024-07-02T00:00:00.000Z,272000,Coating on Lenses | Inside The Lenskart Factory | #Lenskart,66,Lucknow
HcQasECt2tA,Lenskart,1900,https://www.youtube.com/watch?v=HcQasECt2tA,125044,2024-03-05T00:00:00.000Z,272000,Vineeta Peyush Guess Gen Z Slang | Shark Tank India Season 3 | #Lenskart,82,Chandigarh
CVDOG3iQPIY,RAHUL BISHT,252,https://www.youtube.com/watch?v=CVDOG3iQPIY,41997,2024-01-14T00:00:00.000Z,43800,Lenskart buy one get one free eye glasses unboxing and complete review. Free home eye checkup 2024 ??,62,Ludhiana
R8gnBXXQVug,Lenskart,477,https://www.youtube.com/watch?v=R8gnBXXQVug,62061,2023-09-09T00:00:00.000Z,272000,Lenskart Air Switch Grip | Magnetic clip-ons. Firm fit. | #Lenskart,34,Ranchi
e4IfTXBKqcQ,Lenskart,1300,https://www.youtube.com/watch?v=e4IfTXBKqcQ,106519,2023-11-25T00:00:00.000Z,272000,How to Choose GLASSES for Your Face Shape | PRO Guide to How to Pick Glasses Frames | #Lenskart,46,Nagpur
BM9aphdKhiw,EY India,1400,https://www.youtube.com/watch?v=BM9aphdKhiw,77023,2024-08-19T00:00:00.000Z,15500,"Bharat?s Trailblazers - Interview with Neha Bansal, Co-Founder of Lenskart",4,Nashik
g9dw1AB5iHg,Lenskart,174,https://www.youtube.com/watch?v=g9dw1AB5iHg,21162,2024-02-02T00:00:00.000Z,272000,5 POWERFUL Reasons Why You Need To Buy Hustlr in Under 1 Minute | #Lenskart,8,Aurangabad
ZZBtyrajTnA,Chasma Wala,168,https://www.youtube.com/watch?v=ZZBtyrajTnA,17209,2024-05-09T00:00:00.000Z,2060,Unboxing Lenskart Hustlr Eyeglasses  Review Bluecut Computer Glasses ?@chasmawala786?,0,Pune
7K29YKs-vHc,Shark Tank India,1700,https://www.youtube.com/watch?v=7K29YKs-vHc,135040,2024-07-29T00:00:00.000Z,3360000,Isak Perfume ?? Owner ?? ????? Peyush ?? ???? ?? ????? 'Welcome To Lenskart' | Individual Shark Wins,107,Hyderabad
l4e-t4jiL2Q,GrowthX,3000,https://www.youtube.com/watch?v=l4e-t4jiL2Q,217181,2024-02-15T00:00:00.000Z,358000,Lenskart vs Titan: How Lenskart Defeated a TATA Brand | GrowthX Wireframe,163,Varanasi
Po0CZrA1qCQ,Lenskart Singapore,3300,https://www.youtube.com/watch?v=Po0CZrA1qCQ,265781,2024-03-26T00:00:00.000Z,385,Lenskart - Make the Switch,0,Kolkata
Q2yABJMED9A,Shark Tank India,10000,https://www.youtube.com/watch?v=Q2yABJMED9A,541722,2024-02-22T00:00:00.000Z,3360000,Shark Amit ?? ?Intense Focus? ?? ???? Lenskart ?? Compare | Shark Tank India S3 | Full Pitch,371,Chennai
zRZIVLjNHzY,Lenskart,713,https://www.youtube.com/watch?v=zRZIVLjNHzY,342199,2024-06-08T00:00:00.000Z,272000,No More Tired Eyes | Lenskart BLU Screen Glasses,23,Visakhapatnam
FgD2RhBc2B0,Amma Kuthuru,161,https://www.youtube.com/watch?v=FgD2RhBc2B0,10863,2023-10-27T00:00:00.000Z,926,Lenskart Glasses unboxing & review | ?????? ?? | Free eye test | Aqualens | Sunglasses | Eyeglasses,18,Lucknow
i31Pbd7JpmM,Lenskart,63,https://www.youtube.com/watch?v=i31Pbd7JpmM,7207,2024-05-11T00:00:00.000Z,272000,3 Services FREE On Lenskart Right Now | Best Gift for Moms | #Lenskart,1,Patna
mn5IwRlCzI0,kooL Tech,269,https://www.youtube.com/watch?v=mn5IwRlCzI0,7295,2024-08-25T00:00:00.000Z,189000,"Lenskart 70% Off, Fi Cashback Looot, Flash Swiggy Rs.250 Free Loot, Online Shopping Loot Offers",71,Bangalore
olHGm-gUAZ8,Lenskart,102,https://www.youtube.com/watch?v=olHGm-gUAZ8,7166,2024-06-18T00:00:00.000Z,272000,The Solution to Screen Time Eye Strain | Lenskart Screen Glasses,11,Meerut
ppQgLkSQT-M,Enathu Thagaval Ulagam-???? ????? ?????,84,https://www.youtube.com/watch?v=ppQgLkSQT-M,6367,2024-02-27T00:00:00.000Z,12300,????? ????????Glasses ??????? ????????????? Lenskart Free shopping offer | Lenskart BLU Glasses Review,15,Varanasi
AEwt3HD1R2M,Roshan SA,0,https://www.youtube.com/watch?v=AEwt3HD1R2M,5243,2024-02-23T00:00:00.000Z,4910,LENSKART EXPERIENCE and REVIEW in Tamil: ??worthy ?,12,Bhopal
KS1sHMg-lsk,incbasil,75,https://www.youtube.com/watch?v=KS1sHMg-lsk,5615,2024-06-01T00:00:00.000Z,363,Piyush Bansal vs  Ratan Tata | How Lenskart defeated Titan | Lenskart | Titan Eye Plus,4,Ghaziabad
UuoZqo216wM,Supra_tales,122,https://www.youtube.com/watch?v=UuoZqo216wM,6334,2024-08-28T00:00:00.000Z,8740,???????? ???????? ????? ???? ???? |Vlog205 | USA|Dombivali | Hometour |Marathivlog|lenskart|Kharghar,15,Mumbai
kJ6TWF63iVU,Lenskart,112,https://www.youtube.com/watch?v=kJ6TWF63iVU,4701,2024-08-03T00:00:00.000Z,272000,How To Maintain Glasses? | Tips to Clean Your Glasses | #Lenskart,5,Agra
wImMSYG48yQ,Lenskart,225,https://www.youtube.com/watch?v=wImMSYG48yQ,9139,2024-07-26T00:00:00.000Z,272000,#NewLaunch : Harry Potter Inspired Eyewear Collection | #Lenskart,24,Bangalore
B2UHkAEJ_zI,RukhStar,135,https://www.youtube.com/watch?v=B2UHkAEJ_zI,4487,2024-07-17T00:00:00.000Z,196000,????? ??? ??? "LENSKART SCAM? Our Shocking Experience! ??Wrong Size Glasses & Gold Membership Fail!",22,Noida
