id,channelName,commentsCount,likes,viewCount,date,numberOfSubscribers,url,title,location
0-vw1VsHqj0,Lenskart,508,36000,1186705,2023-11-27T00:00:00.000Z,,https://www.youtube.com/shorts/0-vw1VsHqj0,Peyush Bansal Introducing The NEW HUSTLR Sunglasses | #Shorts | #Lenskart,Indore
uqlbJQfsyh8,Lenskart,928,304000,10074092,2023-10-02T00:00:00.000Z,,https://www.youtube.com/shorts/uqlbJQfsyh8,The Power Of Two In One | Lenskart Air Switch | Lenskart,Ghaziabad
qliIKIsS2hw,Lenskart,20,3400,143821,2023-09-11T00:00:00.000Z,,https://www.youtube.com/shorts/qliIKIsS2hw,Find The Perfect Eyewear For Your Face Shape | #Shorts | #Lenskart,Mumbai
DD4jukYW8XY,Lenskart,0,34,1482,2024-08-27T00:00:00.000Z,,https://www.youtube.com/shorts/DD4jukYW8XY,Hustlr Sunglasses are a MUST BUY | #Shorts | #Lenskart,Visakhapatnam
xoF605OAOxw,Lenskart,11,670,25209,2023-12-13T00:00:00.000Z,,https://www.youtube.com/shorts/xoF605OAOxw,TOP SELLING Eyewear Collection | Hustlr | #Shorts | #Lenskart,Lucknow
R3wrkL4-y8o,Lenskart,18,1200,47082,2024-01-02T00:00:00.000Z,,https://www.youtube.com/shorts/R3wrkL4-y8o,Do BLUE LIGHT GLASSES work? | Facts To Know | #Shorts | #Lenskart,Chandigarh
N7pcOW9kNTM,Lenskart,20,1500,63631,2024-02-04T00:00:00.000Z,,https://www.youtube.com/shorts/N7pcOW9kNTM,Why so many people are talking about these glasses? | #Shorts | #Lenskart,Ludhiana
hyGEfVtTrv0,Lenskart,4,1000,50152,2024-02-08T00:00:00.000Z,,https://www.youtube.com/shorts/hyGEfVtTrv0,Best Frame Color For Each Skin Tone | #Shorts | #Lenskart,Ranchi
i_OA7Ps8ncY,Lenskart,7,943,35071,2024-02-05T00:00:00.000Z,,https://www.youtube.com/shorts/i_OA7Ps8ncY,#SPOTTED: Kapil Sharma Wearing Lenskart Air Switch | #Shorts | #Lenskart,Nagpur
LdktgZcrKQ0,Lenskart,4,738,41010,2023-09-10T00:00:00.000Z,,https://www.youtube.com/shorts/LdktgZcrKQ0,Introducing Lenskart Air Switch Grip | #Shorts | #Lenskart,Nashik
g7xLFu6qk_o,Lenskart,24,571,42266,2024-01-17T00:00:00.000Z,272000,https://www.youtube.com/watch?v=g7xLFu6qk_o,The Pan India Superstar Vibe ft. Karan Johar & Kiara Advani | Glasses Badlo Vibe Badlo | #Lenskart,Aurangabad
L3SDDNK_tHk,Lenskart,56,657,50566,2024-05-31T00:00:00.000Z,272000,https://www.youtube.com/watch?v=L3SDDNK_tHk,How Are Progressive Lenses Made | Inside The Lenskart Factory | #Lenskart,Pune
5_p9wEC6m20,Lenskart,41,4600,137420,2024-01-13T00:00:00.000Z,,https://www.youtube.com/shorts/5_p9wEC6m20,NEW HUSTLR Color | As Seen On Peyush Bansal | #Shorts | #Lenskart,Hyderabad
oRRAfrLncSY,Lenskart,7,857,35034,2024-01-05T00:00:00.000Z,,https://www.youtube.com/shorts/oRRAfrLncSY,Try Out Peyush Bansal's Fav Hustlr Glasses At Lenskart Stores | #Shorts | #Lenskart,Varanasi
nZ_xeDVdSnE,Indian Silicon Valley by Jivraj Singh Sachar,1,294,7530,2024-08-23T00:00:00.000Z,,https://www.youtube.com/shorts/nZ_xeDVdSnE,Why Lenskart is an AMAZING Company Now!,Kolkata
atCT_8jPDg8,Backstage with Millionaires,68,866,43587,2024-04-12T00:00:00.000Z,942000,https://www.youtube.com/watch?v=atCT_8jPDg8,Lenskart Is Building a MEGA FACTORY in Bengaluru - Indian Startup News 204,Chennai
7yH1UU4-3vw,ONE CHANCE,94,2600,96417,2024-06-25T00:00:00.000Z,691000,https://www.youtube.com/watch?v=7yH1UU4-3vw,"10 Best Sunglasses Under 500/2000 For Men/Women ?? Lenskart, Voyage Sunglass Haul  2024 | ONE CHANCE",Visakhapatnam
DZroEe_s3AI,Lenskart,8,631,42505,2024-06-02T00:00:00.000Z,,https://www.youtube.com/shorts/DZroEe_s3AI,Signs You Need an Eye Exam | #Shorts | #Lenskart,Lucknow
FvO_MIImnEE,Lenskart,11,1500,38326,2024-02-23T00:00:00.000Z,,https://www.youtube.com/shorts/FvO_MIImnEE,How To Choose GLASSES For Your Face Shape | #Shorts | #Lenskart,Patna
KUZ5t1GSo28,Lenskart,8,1500,52345,2024-07-26T00:00:00.000Z,,https://www.youtube.com/shorts/KUZ5t1GSo28,Don?t Do This MISTAKE While Buying Glasses | #Shorts | #Lenskart,Bangalore
EVAtnscCU50,Lenskart,66,677,52899,2024-07-02T00:00:00.000Z,272000,https://www.youtube.com/watch?v=EVAtnscCU50,Coating on Lenses | Inside The Lenskart Factory | #Lenskart,Meerut
HcQasECt2tA,Lenskart,82,1900,125044,2024-03-05T00:00:00.000Z,272000,https://www.youtube.com/watch?v=HcQasECt2tA,Vineeta Peyush Guess Gen Z Slang | Shark Tank India Season 3 | #Lenskart,Varanasi
UtFnlYdr1rQ,Lenskart,127,6800,176887,2023-12-06T00:00:00.000Z,,https://www.youtube.com/shorts/UtFnlYdr1rQ,Peyush Bansal Talks About Lenskart Shatterproof Lenses | #Shorts | #Lenskart,Bhopal
CQNCPS3z84M,Lenskart,114,10000,276529,2023-09-08T00:00:00.000Z,,https://www.youtube.com/shorts/CQNCPS3z84M,Peyush Bansal Unveils Cricket-Ready Hustlr In A Fresh Color | #Lenskart,Ghaziabad
oVWKY4eEokE,Lenskart,7,2900,253342,2024-02-17T00:00:00.000Z,,https://www.youtube.com/shorts/oVWKY4eEokE,Exchange Your Old Glasses and Buy a New Pair | #Shorts | #Lenskart,Mumbai
CVDOG3iQPIY,RAHUL BISHT,62,252,41997,2024-01-14T00:00:00.000Z,43800,https://www.youtube.com/watch?v=CVDOG3iQPIY,Lenskart buy one get one free eye glasses unboxing and complete review. Free home eye checkup 2024 ??,Agra
R8gnBXXQVug,Lenskart,34,477,62061,2023-09-09T00:00:00.000Z,272000,https://www.youtube.com/watch?v=R8gnBXXQVug,Lenskart Air Switch Grip | Magnetic clip-ons. Firm fit. | #Lenskart,Bangalore
XwvY_-1W_Kg,Lenskart,10,460,19695,2024-03-30T00:00:00.000Z,,https://www.youtube.com/shorts/XwvY_-1W_Kg,Comfortable and Cool Eyeglasses You Must Own | #Shorts | #Lenskart,Noida
e4IfTXBKqcQ,Lenskart,46,1300,106519,2023-11-25T00:00:00.000Z,272000,https://www.youtube.com/watch?v=e4IfTXBKqcQ,How to Choose GLASSES for Your Face Shape | PRO Guide to How to Pick Glasses Frames | #Lenskart,Rajkot
BM9aphdKhiw,EY India,4,1400,77023,2024-08-19T00:00:00.000Z,15500,https://www.youtube.com/watch?v=BM9aphdKhiw,"Bharat?s Trailblazers - Interview with Neha Bansal, Co-Founder of Lenskart",Gurgaon
XWO72Vl4LA0,Lenskart,5,256,20374,2023-11-05T00:00:00.000Z,,https://www.youtube.com/shorts/XWO72Vl4LA0,2 in 1 Sunglasses | Lenskart Air Switch | #Shorts | #Lenskart,Faridabad
Nz-k9q0MtwY,Lenskart,12,1100,23328,2024-02-12T00:00:00.000Z,,https://www.youtube.com/shorts/Nz-k9q0MtwY,Chocolate Mixes Brand Tiggle That Impressed The Sharks | As Seen On Shark Tank | #Shorts | #Lenskart,Chandigarh
